,Title,URL,Album,InAnAlbum,Lyrics
26,Born and Raised,https://genius.com/John-mayer-born-and-raised-lyrics,Born and Raised,True,"Now and then I pace my place
I can't retrace how I got here
I cheat the light to check my face
It's slightly harder than last year
But all at once it gets hard to take
It gets hard to fake what I won't be
Because one of these days I'll be born and raised
And it’s such a waste to grow up lonely
I still have dreams, they’re not the same
They don’t fly as high as they used to
I saw my friend, he's in my head
And he said, “You don’t remember me do you?”
But all at once it gets hard to take
It gets hard to fake what I won't be
Because one of these days I'll be born and raised
And it’s such a waste to grow up lonely
Still got time, still got faith
I call on both of my brothers
Got a mom, got a dad
But they do not have each other
So line on up and take your place
Show your face to the morning
Because one of these days you’ll be
Born and raised and it
All comes up without warning"
27,Born and Raised (Reprise),https://genius.com/John-mayer-born-and-raised-reprise-lyrics,Born and Raised,True,"One, two
One, two, three
Born and raised
Locks of brown, streaks of gray
I was brought up in brighter days
It's good to say, ""Now I'm born and raised""
Born and raised
In half the time I'll be twice my age
Better learn how to turn the page
Because time is strange when you're born and raised
Born and raised
Locks of brown, streaks of gray
I was brought up in brighter days
It's good to say, ""Now I'm born and raised"""
30,Call Me the Breeze,https://genius.com/John-mayer-call-me-the-breeze-lyrics,Paradise Valley,True,"They call me the breeze
I keep blowing down the road
They call me the breeze
I keep blowing down the road
I've got nobody
I'm carrying no load
There's no change in the weather
There's no change in me
There's no change in the weather
There's no change in me
I'm not hiding from nobody
Nobody’s hiding from me
I got that green light babe
I've got to keep moving on
I got that green light, babe
I've got to keep moving on
I might go up to California
Might go down to Georgia
I don’t know"
33,Changing,https://genius.com/John-mayer-changing-lyrics,The Search for Everything,True,"I am not done changing
Out on the run, changing
I may be old and I may be young
But I am not done changing
I met me someone changing
We had some fun changing
Sometimes I wonder if she'll be the one
When I am done changing
Some of us stopped running
Some of us went home
Some of us don’t got one
So we'll build one of our own
Friends behind their fences
Looking at me strange
Wondering when I’m gonna come to my senses
But I'm still changing
And I can’t change my ways
I see the sky changing
Reminds me of my changing
Wish I could tie me a rope 'round the sun
'Cause I am not done changing
Time's been talking to me
Whispering in my ear
Saying “Follow your heart
'Til it tears you apart”
But hearts keep changing
Hearts keep changing
Hearts keep changing
Hearts keep changing
I am not done changing
Out on the run, changing
I may be old and I may be young
But I am not done changing
Changing
Changing"
34,City Love,https://genius.com/John-mayer-city-love-lyrics,Room for Squares,True,"I never liked this apple much
It always seemed too big to touch
I can't remember how I found
My way before she came around
I tell everyone
I smile just because
I've got a city love
I found it in Lydia
And I can't remember life before her name
She keeps a toothbrush at my place
As if I had the extra space
She steals my clothes to wear to work
I know her hairs are on my shirts
I tell everyone
I smile just because
I've got a city love
I found it in Lydia
And I can't remember life before her name
The day
She called up and came to me
Covered in rain
And dinnertime shadowing
And as her clothes spun, we spooned
And I knew I was through
When I said ""I love you""
Friday evening, we've been drinking
2 a.m., I swear I might propose
But we close the tab
Split a cab
And call each other up when we get home
Falling asleep to the sound
Of sirens
I tell everyone
I smile just because
I've got a city love
I found it in Lydia
And I can't remember life before her name
From the battery
To the gallery
It's the kind of thing you only see
In scented, glossy magazines
And I can't remember life before her name"
36,Clarity,https://genius.com/John-mayer-clarity-lyrics,Heavier Things,True,"I worry
I weigh three times my body
I worry
I throw my fear around
But this morning
There's a calm I can't explain
The rock candy's melted, only diamonds now remain
Ooo-ooo
Ooo-ooo
By the time I recognize this moment
This moment will be gone
But I will bend the light pretending that it somehow lingered on
When all I got's
Ooo-ooo, ooo-ooo
Ooo-ooo, ooo-ooo
And I will wait to find
If this will last forever
And I will wait to find
If this will last forever
And I will pay no mind
When it won't and it won't because it can't
It just can't
It's not supposed to
Was there a second of time that I looked around?
Did I sail through or drop my anchor down?
Was anything enough to kiss the ground
And say I'm here now?
And she is here now
Ooo-ooo, ooo-ooo
Ooo-ooo, ooo-ooo
So much wasted in the afternoon
So much sacred in the month of June
How 'bout you, oh?
And I will wait to find
If this will last forever, yeah
And I will wait to find
That it won't and it won't
And it won't
And I will pay no mind
Worried 'bout no rainy weather
And I will waste no time
Remaining in our lives together"
39,Come Back to Bed,https://genius.com/John-mayer-come-back-to-bed-lyrics,Heavier Things,True,"Still is the life
Of your room when you're not inside
And all of your things
Tell the sweetest story line
Your tears on these sheets
And your footsteps are down the hall
So tell me what I did
I can't find where the moment went wrong at all
You can be mad in the morning
I'll take back what I said
Just don't leave me alone here
It's cold, baby
Come back to bed
Come back to bed
Come back to bed
Come back to bed 
What will this fix?
You know you're not a quick forgive
And I won't sleep through this
I survive on the breath you are finished with
You can be mad in the morning
I'll take back what I said
Just don't leave me alone here
It's cold, baby
Come back to bed
Come back to bed
Come back to bed
Come back to bed
You can be mad in the morning
Or the afternoon instead
But don't leave me
Ninety-eight and six degrees of separation from you baby
Come back to bed
Come back to bed
Come back to bed
Why don't you come back to bed?
Don't hold your love over my head
Don't hold your love over my head
Don't hold your love over my head
Don't hold your love over my head
Don't hold your love over my head
Don't hold your love"
52,Crossroads,https://genius.com/John-mayer-crossroads-lyrics,Battle Studies,True,"I went down to the crossroads, fell down on my knees
I went down to the crossroads, fell down on my knees
Asked the Lord for mercy
Said, help me if you please
I went down to the crossroads, tried to flag a ride
I went down to the crossroads, tried to flag a ride
No one seemed to know me, everybody passed me by
You can run, you can run, tell my friend Willy Brown
You can run, you can run, tell my friend Willy Brown
That I'm standing at the crossroads
I believe I'm sinking down"
53,Daughters,https://genius.com/John-mayer-daughters-lyrics,Heavier Things,True,"I know a girl
She puts the color inside of my world
But she's just like a maze
Where all of the walls all continually change
And I've done all I can
To stand on the steps with my heart in my hand
Now I'm starting to see
Maybe it's got nothing to do with me
Fathers, be good to your daughters
Daughters will love like you do
Girls become lovers who turn into mothers
So mothers, be good to your daughters too
Oh, you see that skin?
It's the same she's been standing in
Since the day she saw him walking away
Now she's left
Cleaning up the mess he made
So fathers, be good to your daughters
Daughters will love like you do
Girls become lovers who turn into mothers
So mothers, be good to your daughters too
Boys, you can break
You find out how much they can take
Boys will be strong
And boys soldier on
But boys would be gone without warmth from
A woman's good, good heart
On behalf of every man
Looking out for every girl
You are the God and the weight of her world
So fathers, be good to your daughters
Daughters will love like you do
Girls become lovers who turn into mothers
So mothers, be good to your daughters too
So mothers be good to your daughters, too
So mothers be good to your daughters, too"
59,Dear Marie,https://genius.com/John-mayer-dear-marie-lyrics,Paradise Valley,True,"Dear Marie, tell me what it was I used to be?
Dear Marie, tell me what it was I used to be?
And if you’re further up the road
Can you show me what I still can’t see?
Remember me, I’m the boy you used to love
When we were fifteen
Remember me, I’m the boy you used to love
When we were fifteen
Now I wonder what you think
When you see me on the magazine
From time to time
I go looking for your photograph online
From time to time
I go looking for your photograph online
Some county judge in Ohio is all I ever find
Dear Marie, tell me do you still believe in me?
Dear Marie, tell me do you still believe in me?
Well I’ve got my dream, but you’ve got a family
Yeah I’ve got that dream, but you’ve got yourself a family
Yeah I’ve got that dream, but I guess it got away from me"
60,Do You Know Me,https://genius.com/John-mayer-do-you-know-me-lyrics,Battle Studies,True,"It's just the strangest thing
I've seen your face somewhere
An early evening dream, a past life love affair
Do you know me at all?
Do you know me at all?
In all my reverie
I thought I felt us there
A feather in my hand
A flower in your hair
Do you know me at all?
Do you know me at all?"
61,Dreaming With a Broken Heart,https://genius.com/John-mayer-dreaming-with-a-broken-heart-lyrics,Continuum,True,"When you’re dreaming with a broken heart
The waking up is the hardest part
You roll out of bed and down on your knees
And for a moment, you can hardly breathe
Wondering, “Was she really here?
Is she standing in my room?”
No she’s not
‘Cause she’s gone, gone, gone, gone, gone
When you’re dreaming with a broken heart
The giving up is the hardest part
She takes you in, with her crying eyes
Then, all at once, you have to say goodbye
Wondering, “could you stay my love?
Will you wake up by my side?”
No she can’t
‘Cause she’s gone, gone, gone, gone, gone
Now, do I have to fall asleep with roses in my hand?
Do I have to fall asleep with roses in my hand?
Now, do I have to fall asleep with roses in my hand?
Do I have to fall asleep with roses in my, roses in my hands?
And would you get them if I did?
No you won’t
‘Cause you’re gone, gone, gone, gone, gone
When you’re dreaming with a broken heart
The waking up is the hardest part"
62,Edge of Desire,https://genius.com/John-mayer-edge-of-desire-lyrics,Battle Studies,True,"Young and full of running
Tell me where has that taken me
Just a great figure eight or a tiny infinity
Love is really nothing
But a dream that keeps waking me
For all of my trying, we still end up dying
How can it be
Don't say a word, just come over and lie here with me
Because I'm just about to set fire to everything I see
I want you so bad, I'll go back on the things I believe
There I just said it, I'm scared you'll forget about me
So young and full of running
All the way to the edge of desire
Steady my breathing, silently screaming
I have to have you now
Wired and I'm tired
Think I'll sleep in my clothes on the floor
Or maybe this mattress will spin on its axis
And find me on yours
Don't say a word, just come over and lie here with me
Because I'm just about to set fire to everything I see
I want you so bad, I'll go back on the things I believe
There I just said it, I'm scared you'll forget about me"
63,Emoji of a Wave,https://genius.com/John-mayer-emoji-of-a-wave-lyrics,The Search for Everything,True,"Oh honey
You don't have to try so hard
To hurt me
Don't worry
I been thinking bout you too
What do we do
Your heart is where my head should be
The dissonance is killing me
It breaks my heart
It breaks my heart
Oh honey
Oh honey
It's just a wave
It's just a wave
And I know
That when it comes
I just hold on
I just hold on
Oh honey
I been talking to myself
Just to hear you
And you're saying
Everything I wish you would
And it's so good
It's raining on the mission bell
They're draining out the wishing well
It breaks my heart
It breaks my heart
Oh honey
Oh honey
It's just a wave
It's just a wave
And I know
That when it comes
I just hold on
I just hold on
I rose in you like morning light
And sheltered you asleep at night
It breaks my heart
It takes all the love I have to say
I know we're gonna be ok
It breaks my heart
It breaks my heart
Oh honey
Oh honey
It's just a wave
It's just a wave
And I know
That when it comes
I just hold on
Until it's gone"
66,Fool to Love You,https://genius.com/John-mayer-fool-to-love-you-lyrics,Born and Raised,True,"Oh, it takes a fool to love you
It takes a fool to love you
It takes a fool to love you
Oh, and I'm just the fool for you
I really did it to myself I guess
I saw you standing in that cocktail dress
Oh, call the press and say my life is a mess
Because I must confess to you
Oh, it takes a fool to love you
It takes a fool to love you
It takes a fool to love you
Oh, and I'm just the fool for you
Fool me once and it's shame on you
Twice it's shame on me
But fool me baby for the rest of my life
And I'll be happy, happy as a broken man can be
Oh, it takes a fool to love you
It takes a fool to love you
It takes a fool to love you
Oh, and I'm just the fool for you
Oh, now I'm just the fool for you
Oh, now I'm just the fool for you
Oh, now I'm just the fool for you
Oh, now I'm just the fool for you
Oh, now I'm just the fool for you
Oh, now I'm just the fool for you"
68,"Friends, Lovers or Nothing",https://genius.com/John-mayer-friends-lovers-or-nothing-lyrics,Battle Studies,True,"Now that we are over as the loving kind
We'll be dreaming ways to keep the good alive
Only when we want is not a compromise
I'd be pouring tears into your drying eyes
Friends, lovers or nothing
There can only be one
Friends, lovers or nothing
There will never be an in-between, so give it up
You whisper, come on over
Cause you're two drinks in
But in the morning, I will say goodbye again
Think we'll never fall into the jealous game
The streets are flood with blood of those who felt the same
Friends, lovers or nothing
There can only be one
Friends, lovers or nothing
There will never be an in-between, so give it up
Friends, lovers, or nothing
We can really only ever be one
Friends, lovers, or nothing
We'll never be the inbetween
So give it up
We'll never the inbetween
So give it up
Anything other than 'yes' is 'no'
Anything other than 'stay' is 'go'
Anything less than 'I love you' is lying..."
73,Gravity,https://genius.com/John-mayer-gravity-lyrics,Continuum,True,"Gravity is working against me
And gravity wants to bring me down
Oh, I'll never know
What makes this man, with all the love that his heart can stand
Dream of ways to throw it all away
Woah, woah
Gravity is working against me
And gravity wants to bring me down
Oh, twice as much ain't twice as good
And can't sustain like one half could
It's wanting more that's gonna send me to my knees
Oh, twice as much ain't twice as good
And can't sustain like one half could
It's wanting more that's gonna send me to my knees
Woah, woah
Gravity, stay the hell away from me
Woah, woah
Gravity has taken better men than me
Now, how can that be?
Just keep me where the light is
Just keep me where the light is
Just keep me where the light is
Come on, keep me where the light is
Come on, keep me where the light is
Come on, keep me where, now, keep me where the light is"
75,Great Indoors,https://genius.com/John-mayer-great-indoors-lyrics,Room for Squares,True,"Check your pulse
It's proof that you're not listening to
The call your life's been issuing you
The rhythm of a line of idle days
Scared of a world outside you should go explore
Pull all the shades and wander the great indoors
The great indoors
Lamplight makes the shadows play
And posters take the walls away
The TV is your window pane
The view won't let you down
So put your faith in a late night show
I bet you didn't even know
Depends on how far out you go
The channel numbers change
Scared of a world outside you should go explore
Pull all the shades and wander the great indoors
The great indoors
Though lately I can't blame you
I have seen the world
And sometimes wish your room had room for two
So go unlock the door
And find what you are here for
Leave the great indoors
Leave the great indoors
Check your pulse
It's proof that you're not listening to
The call your life's been issuing you
The rhythm of a line of idle days"
76,Half of My Heart,https://genius.com/John-mayer-half-of-my-heart-lyrics,Battle Studies,True,"I was born in the arms of imaginary friends
Free to roam, made a home out of everywhere I've been
Then you come crashing in, like the realest thing
Trying my best to understand all that your love can bring
Oh half of my heart's got a grip on the situation
Half of my heart takes time
Half of my heart's got a right mind to tell you
That I can't keep loving you 
Oh, with half of my heart
I was made to believe I'd never love somebody else
Made a plan, stay the man who can only love himself
Lonely was the song I sang, until the day you came
Showing me another way and all that my love can bring
Oh half of my heart's got a grip on the situation
Half of my heart takes time
Half of my heart's got a right mind to tell you
That I can't keep loving you 
Oh, with half of my heart
Your faith is strong
But I can only fall short for so long
Down the road, later on
You will hate that I never gave more to you than half of my heart
But I can't stop loving you
I can't stop loving you
But I can't stop loving you with half of my
Half of my heart
Half of my heart
Half of my heart’s got a real cool imagination
Half of my heart’s got you
Half of my heart’s got the right mind to tell you
Half of my heart won’t do
Half of my heart is a shotgun wedding to a bride with a paper ring
And half of my heart is the part of a man who's never truly loved anything
Half of my heart
Half of my heart
Half of my heart
Half of my heart
Half of my heart
Half of my heart"
77,Heartbreak Warfare,https://genius.com/John-mayer-heartbreak-warfare-lyrics,Battle Studies,True,"Lightning strikes
Inside my chest to keep me up at night
Dream of ways
To make you understand my pain
Clouds of sulfur in the air
Bombs are falling everywhere
It's heartbreak warfare
Once you want it to begin
No one really ever wins
In heartbreak warfare
If you want more love, why don't you say so?
If you want more love, why don't you say so?
Verse 
Drop his name
Push it in and twist the knife again
Watch my face
As I pretend to feel no pain, pain, pain
Clouds of sulfur in the air
Bombs are falling everywhere
It's heartbreak warfare
Once you want it to begin
No one really ever wins
In heartbreak warfare
If you want more love, why don't you say so?
If you want more love, why don't you say so?
How come the only way to know how high you get me
Is to see how far I fall?
God only knows how much I'd love you if you let me
But I can't break through it all
It's a heart, heartbreak
I don't care if we don't sleep at all tonight
Let's just fix this whole thing now
I swear to God, we're going to get it right
If you lay your weapon down
Red wine and Ambien
You're talking shit again
It's heartbreak warfare
Good to know it's all a game
Disappointment has a name
It's heartbreak, heartbreak
It's heartbreak warfare
It's heartbreak warfare
It's heartbreak warfare"
80,Helpless,https://genius.com/John-mayer-helpless-lyrics,The Search for Everything,True,"The same drink that gets me out the door
Is the same drink that puts me on the floor
And the new thing I wanna try some more
Is the same mistake I used to make before
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
And I'll stop trying to figure it out
The same brain that brings me ecstacy
Is the same pain that gets the best of me
And the one I love the most just said to me
A broken heart is all I'll ever be
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
And I'll stop trying to figure it out
Help me
Help me
Help me
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
And I'll stop trying to figure it out
If I'm helpless
If I'm helpless
If I'm helpless
Then I'll stop trying to figure it out"
81,Home Life,https://genius.com/John-mayer-home-life-lyrics,Heavier Things,True,"I think I'm going to stay home
Have myself a home life
Sitting in the slow-mo
And listening to the daylight
I am not a nomad
I am not a rocket man
I was born a house cat
By the slight of my mother's hand
I think I'm going to stay home
I want to live in the center of a circle
I want to live on the side of a square
I used to be in my M-Z now
You'll never find me 'cause my name isn't there
Home life
Been holding out for a home life
My whole life
I want to see the end game
I want to learn her last name
Finish on a Friday
And sit in traffic on the highway
See, I refuse to believe
That my life's going to be
Just some string of incompletes
Never to lead me to anything remotely close to a home life
Been holding out for a home life
My whole life
I can tell you this much
II will marry just once
And if it doesn't work out
Give her half of my stuff
It's fine with me
We said eternity
And I will go to my grave
With the life that I gave
Not just some melody line
On a radio wave
It dissipates
And soon evaporates
But home life doesn't change 
I want to live in the center of a circle
I want to live on the side of a square
I'd love to walk to where we both can talk, but
I've got to leave you cause my ride is here
In my home life
You take the home life
You keep the home life
I'll come back for the home life
I promise
Home life I promise
Life
Home life
Home life"
87,I Don’t Trust Myself (With Loving You),https://genius.com/John-mayer-i-dont-trust-myself-with-loving-you-lyrics,Continuum,True,"No, I'm not the man I used to be, lately
See, you met me at an interesting time
And if my past is any sign of your future
You should be warned before I let you inside
Hold on to whatever you find, baby
Hold on to whatever will get you through
Hold on to whatever you find, baby
I don't trust myself with lovin' you
I will beg my way into your garden
And then I'll break my way out, when it rains
Just to get back to the place where I started
So I can want you back all over again
Hold on to whatever you find, baby
Hold on to whatever will get you through
Hold on to whatever you find, baby
I don't trust myself with lovin' you
Who do you love?
Girl I see through, through your love
Who do you love; me or the thought of me?
Me or the thought of me?
Hold on to whatever you find, baby
Hold on to whatever will get you through
Hold on to whatever you find, baby
I don't trust myself with lovin' you
Hold on to whatever you find, baby
Hold on to whatever will get you through
Hold on to whatever you find, baby
I don't trust myself with lovin' you
I don't trust myself with lovin' you
I don't trust myself with lovin' you
I don't trust myself with lovin' you
I don't trust myself with lovin' you"
88,If I Ever Get Around To Living,https://genius.com/John-mayer-if-i-ever-get-around-to-living-lyrics,Born and Raised,True,"If I ever get around to living
I'm going to put my things away
In the drawers and in the closets
And there I'll stay
Stay
If I ever get around to living
It's going to be just like I dreamed
I'm going to take the love I'm given
And set it free
Free
If I ever get around to living
I'll take the end of every day
Tie it up to every morning
And sail away
Away
Free
Free
Maybe it's all a dream I'm having at seventeen
I don't have tattoos
And very soon, mother will be calling me
Saying, ""Come upstairs, you've got some work to do""
When are you going to wise up boy?
When are you going to wise up boy?
When are you going to wise up boy?
When are you going to wise up boy?
You are hiding in your mind
Working all the time
Trying to make it better than you got it
And you been spending all your time
Searching for a sign
That's never going to look the way you want it
When are you going to wise up boy?
When are you going to wise up boy?
When are you going to wise up boy?
When are you going to wise up boy?"
